country,donated,received
Latvia,0,423495040
Lithuania,0,516423270
Romania,0,3332059861
South Africa,0,18655555070
India,0,1.3398E+11
Cyprus,5599,968154947
Thailand,25461,49041317440
Slovenia,150028,225435200
Iceland,172501,18060045
Colombia,190795,25530536307
Estonia,278942,251349503
Hungary,324552,2925327491
Slovak Republic,395574,821195623
Poland,403184,24517225188
Chile,564349,7334129130
Monaco,941387,0
Brazil,1134440,36607258078
Liechtenstein,4370700,18393083
Czech Republic,8930435,2141913341
Greece,32667185,519377906
New Zealand,56749885,225588310
United Arab Emirates,67636986,300206472
Portugal,68900866,175242606
Taiwan,89017498,3399554410
Qatar,104519053,733783749
Luxembourg,111554022,555039832
Ireland,295144458,934638729
Finland,665953415,180695493
Austria,784068952,770267419
Korea,1299047720,25294323453
Kuwait,1369078319,7771540076
Saudi Arabia,1698410689,4877749103
Spain,2014695904,561711808
Belgium,2144445270,184346233
Australia,2446616312,2572618261
Switzerland,2844087953,326783
Denmark,2952416405,166310586
Italy,3835655974,2400826417
Norway,4416814418,368001981
Sweden,6364045876,59757155
Canada,7466338200,4068652966
Netherlands,8939647189,0
France,15456459635,237540854
United Kingdom,23690539376,957343964
Germany,47218438821,60164
Japan,1.14182E+11,2081102258
United States,1.16176E+11,104524992
