recipient,Air transport,Industrial development,Legal and judicial development,Material relief assistance and services,Social/ welfare services
Australia,21.0,1.0,0.0,0.0,0.0
Austria,6.0,0.0,1.0,2.0,0.0
Belgium,2.0,0.0,0.0,0.0,0.0
Brazil,51.0,185.0,128.0,135.0,1066.0
Canada,19.0,1.0,0.0,0.0,0.0
Chile,23.0,85.0,81.0,163.0,437.0
Colombia,26.0,131.0,368.0,592.0,848.0
Cyprus,1.0,3.0,2.0,22.0,42.0
Czech Republic,8.0,20.0,21.0,22.0,125.0
Denmark,3.0,0.0,0.0,0.0,0.0
Estonia,5.0,24.0,45.0,22.0,75.0
Finland,3.0,0.0,0.0,0.0,1.0
France,3.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,2.0
Greece,2.0,2.0,0.0,0.0,0.0
Hungary,2.0,16.0,23.0,15.0,104.0
Iceland,1.0,0.0,0.0,0.0,0.0
Ireland,4.0,3.0,0.0,0.0,0.0
Italy,5.0,0.0,0.0,2.0,0.0
Japan,11.0,0.0,0.0,0.0,0.0
Korea,18.0,104.0,1.0,20.0,85.0
Kuwait,0.0,1.0,2.0,4.0,35.0
Liechtenstein,0.0,0.0,0.0,0.0,1.0
Luxembourg,3.0,0.0,0.0,0.0,0.0
New Zealand,2.0,1.0,0.0,0.0,0.0
Norway,5.0,0.0,0.0,0.0,0.0
Poland,15.0,60.0,21.0,30.0,146.0
Portugal,1.0,1.0,0.0,0.0,0.0
Qatar,0.0,1.0,2.0,2.0,34.0
Saudi Arabia,5.0,21.0,5.0,5.0,64.0
Slovak Republic,1.0,13.0,13.0,6.0,88.0
Slovenia,0.0,3.0,6.0,9.0,62.0
Spain,1.0,1.0,0.0,0.0,0.0
Sweden,0.0,2.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,3.0,0.0
Taiwan,8.0,41.0,2.0,12.0,57.0
Thailand,47.0,183.0,122.0,438.0,405.0
United Arab Emirates,1.0,3.0,5.0,1.0,50.0
United Kingdom,4.0,0.0,0.0,0.0,0.0
United States,0.0,0.0,0.0,0.0,3.0
