year,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Kuwait,Liechtenstein,Luxembourg,Monaco,Netherlands,New Zealand,Norway,Poland,Portugal,Qatar,Saudi Arabia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Taiwan,Thailand,United Arab Emirates,United Kingdom,United States
1973,46285863.0,0.0,39251336.0,0.0,437928427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247189555.0,562232384.0,0.0,0.0,0.0,0.0,166719069.0,938965880.0,0.0,0.0,0.0,0.0,0.0,162750945.0,0.0,35874848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168369255.0,14060941.0,0.0,0.0,0.0,442579189.0,1553264205.0
1974,26950877.0,24126329.0,43588598.0,0.0,68502158.0,0.0,0.0,0.0,0.0,56839286.0,0.0,0.0,367384662.0,698168091.0,0.0,0.0,0.0,0.0,0.0,2730202327.0,0.0,0.0,0.0,0.0,0.0,323468392.0,0.0,94887523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30299330.0,64549529.0,0.0,0.0,0.0,1405378815.0,871092243.0
1975,77691781.0,0.0,38863307.0,0.0,93027681.0,0.0,0.0,0.0,0.0,10392556.0,0.0,0.0,192416969.0,833859928.0,0.0,0.0,0.0,0.0,0.0,1339039677.0,0.0,0.0,0.0,0.0,0.0,130708382.0,0.0,64575343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201059589.0,103204755.0,0.0,0.0,0.0,222187891.0,944272511.0
1976,27718070.0,12981849.0,36126619.0,0.0,116287322.0,0.0,0.0,0.0,0.0,28849377.0,0.0,0.0,183658423.0,639963734.0,0.0,0.0,0.0,0.0,35601469.0,762168614.0,0.0,206494798.0,0.0,0.0,0.0,426349160.0,0.0,10419282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151806434.0,43577287.0,0.0,0.0,64911546.0,51613566.0,897290248.0
1977,72648152.0,2608725.0,35853879.0,0.0,38957778.0,0.0,0.0,0.0,0.0,112241594.0,0.0,0.0,168900067.0,617148856.0,0.0,0.0,0.0,0.0,0.0,1479116934.0,0.0,86642765.0,0.0,0.0,0.0,352515092.0,0.0,60133610.0,0.0,0.0,0.0,540365522.0,0.0,0.0,0.0,143468255.0,111194695.0,0.0,0.0,0.0,860011341.0,246198361.0
1978,47483698.0,27058314.0,32189217.0,0.0,100516271.0,0.0,0.0,0.0,0.0,2086036.0,0.0,0.0,97437457.0,410412482.0,0.0,0.0,0.0,0.0,0.0,1429326640.0,0.0,103885863.0,0.0,0.0,0.0,231844808.0,0.0,147255461.0,0.0,0.0,0.0,251262679.0,0.0,0.0,0.0,472112462.0,35883359.0,0.0,0.0,0.0,971709388.0,438452911.0
1979,9763598.0,2480539.0,30801519.0,0.0,80241209.0,0.0,0.0,0.0,0.0,35943903.0,0.0,0.0,25058027.0,787807347.0,0.0,0.0,0.0,0.0,0.0,1014747194.0,0.0,59307807.0,0.0,0.0,0.0,82256186.0,0.0,140327273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253701905.0,67821487.0,0.0,0.0,0.0,5012313.0,717779582.0
1980,23283790.0,2720513.0,0.0,0.0,139264006.0,0.0,0.0,0.0,0.0,96585940.0,0.0,0.0,360323267.0,654031054.0,0.0,0.0,0.0,0.0,0.0,1826375443.0,0.0,23153412.0,0.0,0.0,0.0,352628199.0,0.0,41738095.0,0.0,0.0,0.0,112421249.0,0.0,0.0,0.0,10679246.0,10028652.0,0.0,0.0,0.0,567311470.0,6864224034.0
1981,18425831.0,53422527.0,61917902.0,0.0,546970726.0,0.0,0.0,0.0,0.0,215721283.0,0.0,0.0,277458713.0,751727169.0,0.0,0.0,0.0,0.0,0.0,2935257275.0,0.0,298564124.0,199326.0,0.0,0.0,270695825.0,752775.0,51124921.0,0.0,0.0,0.0,131496682.0,0.0,0.0,0.0,151539023.0,18045799.0,0.0,0.0,0.0,7198102.0,8124423748.0
1982,10458375.0,272169.0,0.0,0.0,87937147.0,0.0,0.0,0.0,0.0,122090821.0,0.0,0.0,446543740.0,853843929.0,0.0,0.0,0.0,0.0,0.0,1471338041.0,0.0,181627819.0,734297.0,0.0,0.0,163308875.0,572352.0,110623404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147903816.0,63684924.0,0.0,0.0,0.0,775334730.0,3462490652.0
1983,7388539.0,17235616.0,46243316.0,0.0,148016945.0,0.0,0.0,0.0,0.0,84368125.0,0.0,3517060.0,164059809.0,494657126.0,0.0,0.0,0.0,0.0,33513460.0,1760860027.0,0.0,154970641.0,63282.0,0.0,0.0,305883422.0,216892.0,0.0,0.0,0.0,0.0,79371799.0,0.0,0.0,0.0,136226862.0,190427090.0,0.0,0.0,0.0,571679920.0,1091122225.0
1984,3698286.0,0.0,0.0,0.0,691336664.0,0.0,0.0,0.0,0.0,131061636.0,0.0,0.0,367362828.0,950183614.0,0.0,0.0,0.0,0.0,225774377.0,2565737016.0,0.0,27051193.0,0.0,0.0,0.0,192857428.0,0.0,101664449.0,0.0,0.0,0.0,346714096.0,0.0,0.0,0.0,133481767.0,116248354.0,0.0,0.0,0.0,753538727.0,2515278485.0
1985,6929573.0,87348212.0,4191839.0,0.0,146523445.0,0.0,0.0,0.0,0.0,154044569.0,0.0,0.0,212486003.0,1590619838.0,0.0,0.0,0.0,0.0,164182162.0,2525827880.0,0.0,0.0,0.0,0.0,0.0,75285016.0,4831732.0,85932533.0,0.0,0.0,0.0,128074768.0,0.0,0.0,0.0,123903610.0,52165585.0,0.0,0.0,0.0,1255318.0,2735617446.0
1986,25229662.0,15801537.0,0.0,0.0,392105553.0,0.0,0.0,0.0,0.0,110720962.0,0.0,0.0,296394154.0,539033266.0,0.0,0.0,0.0,0.0,48874532.0,1341662477.0,0.0,84167688.0,0.0,0.0,0.0,379878579.0,0.0,9848663.0,0.0,0.0,0.0,35996220.0,0.0,0.0,0.0,198445181.0,35598036.0,0.0,0.0,0.0,227395004.0,1334668057.0
