year,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Ireland,Italy,Japan,Korea,Kuwait,Latvia,Liechtenstein,Lithuania,Luxembourg,New Zealand,Norway,Poland,Portugal,Qatar,Romania,Saudi Arabia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Taiwan,Thailand,United Arab Emirates,United Kingdom,United States
1973,0.0,0.0,0.0,312075045.0,0.0,88056078.0,549944785.0,9613414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285256534.0,0.0,0.0,0.0,1363706959.0,325483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206363405.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,306601048.0,0.0,257689227.0,203545814.0,16432279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3697747278.0,0.0,0.0,0.0,1455639048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115048.0,867668418.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,100725686.0,0.0,365408442.0,145779156.0,5864941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000656166.0,0.0,0.0,0.0,299226023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333639956.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,83580485.0,0.0,155551297.0,143082677.0,31022257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233586413.0,0.0,0.0,0.0,938952566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110042103.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,501438883.0,0.0,2568149.0,67799905.0,20945184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3197135157.0,0.0,0.0,0.0,418471898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163198.0,715883953.0,3599299.0,0.0,0.0
1978,0.0,0.0,0.0,151531351.0,0.0,4418418.0,54438681.0,46647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2927325215.0,0.0,0.0,0.0,801254989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859278853.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,167462062.0,0.0,49451759.0,15388003.0,15837039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622748901.0,0.0,0.0,0.0,146708076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12014220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283439829.0,0.0,0.0,0.0
1980,54502260.0,157632201.0,147868500.0,397591374.0,531674896.0,17218386.0,257368296.0,87110643.0,0.0,104288895.0,0.0,0.0,116609845.0,0.0,115371982.0,0.0,18060045.0,2968245303.0,30268231.0,894504816.0,264768921.0,2625763424.0,0.0,0.0,0.0,0.0,0.0,11703716.0,43725131.0,75000451.0,4136160.0,0.0,44381441.0,120375527.0,0.0,0.0,0.0,285026867.0,35282669.0,0.0,374058844.0,902852253.0,174742.0,399202551.0,0.0
1981,747648005.0,163916.0,36477733.0,1019510084.0,2540405789.0,24802202.0,176100059.0,110234644.0,0.0,0.0,0.0,0.0,120922782.0,0.0,26046686.0,0.0,0.0,3706661088.0,58605044.0,3585196.0,446920760.0,1656173571.0,78425.0,0.0,18264370.0,0.0,0.0,0.0,130936843.0,35410.0,144765310.0,0.0,262077414.0,409548081.0,0.0,0.0,0.0,199457361.0,24474486.0,0.0,312886996.0,1178204797.0,1813286.0,558141413.0,0.0
1982,2599450.0,58590672.0,0.0,577695039.0,170174807.0,25718071.0,1228919949.0,31348629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2822105457.0,0.0,663971.0,0.0,216083049.0,0.0,0.0,0.0,0.0,0.0,213884594.0,63586018.0,70326.0,0.0,0.0,0.0,197083911.0,0.0,0.0,0.0,77227580.0,0.0,0.0,617069786.0,1595007194.0,936588.0,0.0,0.0
