year,recipient,amount
1981,India,752775
1982,Thailand,572352
1983,Thailand,216892
1985,Thailand,4831732
1995,Thailand,69294
1995,India,224051
1995,Chile,273712
1995,South Africa,983977
2002,Brazil,214401
2002,Thailand,260043
2002,Chile,296078
2002,Colombia,365547
2002,India,1083306
2002,South Africa,1745946
2003,Colombia,190786
2003,Brazil,260058
2003,Chile,567339
2003,Thailand,603022
2003,India,1798947
2003,South Africa,2009242
2004,Kuwait,153669
2004,Thailand,185190
2004,Colombia,221659
2004,Brazil,278870
2004,Chile,479085
2004,India,1720453
2004,South Africa,2303984
2005,Colombia,113277
2005,Brazil,293576
2005,Chile,472997
2005,Thailand,582630
2005,South Africa,1606002
2005,India,2088192
2006,Colombia,86804
2006,Thailand,148395
2006,Chile,296741
2006,Brazil,320951
2006,India,1205428
2006,South Africa,2332301
2007,Colombia,20263
2007,Thailand,64354
2007,Brazil,174175
2007,Chile,998447
2007,South Africa,1401416
2007,India,1520973
2008,Colombia,8472
2008,Thailand,373331
2008,Chile,433044
2008,Brazil,446260
2008,South Africa,1621520
2008,India,1953889
2009,Thailand,97634
2009,Brazil,339120
2009,Chile,433699
2009,South Africa,1270041
2009,India,2579805
2010,Thailand,3829
2010,Colombia,109110
2010,Brazil,284989
2010,India,408698
2010,South Africa,1198622
2010,Chile,1513698
2011,Thailand,142135
2011,Brazil,212413
2011,Chile,278743
2011,South Africa,1350266
2011,India,1640241
2012,Colombia,11260
2012,India,33970
2012,Brazil,97067
2012,South Africa,115737
2012,Chile,1464630
2013,Thailand,60751
2013,Brazil,133652
2013,South Africa,217244
2013,Colombia,244739
2013,Chile,319376
2013,India,962568
