donor,recipient,donated_amount
Cyprus,India,5599
Thailand,Cyprus,25461
Thailand,South Africa,25461
Slovenia,South Africa,150028
Slovenia,India,150028
Slovenia,India,150028
Slovenia,India,150028
Slovenia,India,150028
Slovenia,Colombia,150028
Slovenia,India,150028
Iceland,South Africa,172501
Iceland,India,172501
Iceland,South Africa,172501
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Thailand,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Colombia,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,United States,190795
Colombia,Chile,190795
Colombia,Chile,190795
Colombia,Chile,190795
Estonia,Poland,278942
Estonia,India,278942
Estonia,Czech Republic,278942
Hungary,Romania,324552
Hungary,Romania,324552
Hungary,Romania,324552
Hungary,Canada,324552
Hungary,Romania,324552
Hungary,Romania,324552
Hungary,Romania,324552
Hungary,Romania,324552
Hungary,Romania,324552
Slovak Republic,Chile,395574
Slovak Republic,India,395574
Slovak Republic,Thailand,395574
Slovak Republic,Brazil,395574
Slovak Republic,Hungary,395574
Slovak Republic,India,395574
Slovak Republic,Hungary,395574
Slovak Republic,Taiwan,395574
Poland,Colombia,403184
Poland,Thailand,403184
Poland,South Africa,403184
Poland,South Africa,403184
Poland,Thailand,403184
Poland,Thailand,403184
Poland,India,403184
Poland,India,403184
Poland,India,403184
Poland,Brazil,403184
Poland,India,403184
Poland,Brazil,403184
Poland,Brazil,403184
Poland,South Africa,403184
Poland,Thailand,403184
Poland,India,403184
Poland,India,403184
Poland,Thailand,403184
Poland,India,403184
Poland,South Africa,403184
Poland,South Africa,403184
Poland,Colombia,403184
Poland,South Africa,403184
Poland,South Africa,403184
Chile,Brazil,564349
Chile,United States,564349
Chile,Colombia,564349
Chile,Brazil,564349
Chile,Chile,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Brazil,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Brazil,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Brazil,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Chile,Colombia,564349
Monaco,Portugal,941387
Monaco,South Africa,941387
Monaco,Slovenia,941387
Monaco,South Africa,941387
Monaco,South Africa,941387
Monaco,South Africa,941387
Monaco,South Africa,941387
Monaco,South Africa,941387
Monaco,Slovenia,941387
Monaco,Slovenia,941387
Monaco,Slovenia,941387
Brazil,South Africa,1134440
Brazil,France,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Japan,1134440
Brazil,South Africa,1134440
Brazil,Colombia,1134440
Brazil,Saudi Arabia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,South Africa,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,South Africa,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Colombia,1134440
Brazil,Chile,1134440
Brazil,Colombia,1134440
