country,donated,received,Latitude,Longitude,donatedBillions,receivedBillions
Australia,2446616312,2572618261,-35.266666666666666,149.133333,2.446616312,2.572618261
Austria,784068952,770267419,48.2,16.366667,0.784068952,0.770267419
Belgium,2144445270,184346233,50.83333333333334,4.3333330000000005,2.14444527,0.184346233
Brazil,1134440,36607258078,-15.783333333333333,-47.916667,0.00113444,36.607258078
Canada,7466338200,4068652966,45.41666666666666,-75.7,7.4663382,4.068652966
Chile,564349,7334129130,-33.45,-70.666667,0.000564349,7.33412913
Colombia,190795,25530536307,4.6,-74.083333,0.000190795,25.530536307
Cyprus,5599,968154947,35.166666666666664,33.366667,5.599e-06,0.968154947
Czech Republic,8930435,2141913341,50.08333333333334,14.466667000000001,0.008930435,2.141913341
Denmark,2952416405,166310586,55.66666666666666,12.583333,2.952416405,0.166310586
Estonia,278942,251349503,59.43333333333333,24.716667,0.000278942,0.251349503
Finland,665953415,180695493,60.16666666666666,24.933332999999998,0.665953415,0.180695493
France,15456459635,237540854,48.86666666666667,2.333333,15.456459635,0.237540854
Germany,47218438821,60164,52.51666666666666,13.4,47.218438821,6.0164e-05
Greece,32667185,519377906,37.98333333333333,23.733333,0.032667185,0.519377906
Hungary,324552,2925327491,47.5,19.083333,0.000324552,2.925327491
Iceland,172501,18060045,64.15,-21.95,0.000172501,0.018060045
Ireland,295144458,934638729,53.31666666666667,-6.233333,0.295144458,0.934638729
Italy,3835655974,2400826417,41.9,12.483333,3.835655974,2.400826417
Japan,114182254172,2081102258,35.68333333333333,139.75,114.182254172,2.081102258
Korea,1299047720,25294323453,,,1.29904772,25.294323453
Kuwait,1369078319,7771540076,29.36666666666667,47.966667,1.369078319,7.771540076
Liechtenstein,4370700,18393083,47.13333333333333,9.516667,0.0043707,0.018393083
Luxembourg,111554022,555039832,49.6,6.116667,0.111554022,0.555039832
Monaco,941387,0,43.73333333333333,7.4166669999999995,0.000941387,0.0
Netherlands,8939647189,0,52.35,4.9166669999999995,8.939647189,0.0
New Zealand,56749885,225588310,-41.3,174.783333,0.056749885,0.22558831
Norway,4416814418,368001981,59.91666666666666,10.75,4.416814418,0.368001981
Poland,403184,24517225188,52.25,21.0,0.000403184,24.517225188
Portugal,68900866,175242606,38.71666666666667,-9.133333,0.068900866,0.175242606
Qatar,104519053,733783749,25.28333333333333,51.533333,0.104519053,0.733783749
Saudi Arabia,1698410689,4877749103,24.65,46.7,1.698410689,4.877749103
Slovak Republic,395574,821195623,,,0.000395574,0.821195623
Slovenia,150028,225435200,46.05,14.516667000000002,0.000150028,0.2254352
Spain,2014695904,561711808,40.4,-3.683333,2.014695904,0.561711808
Sweden,6364045876,59757155,59.33333333333334,18.05,6.364045876,0.059757155
Switzerland,2844087953,326783,46.91666666666666,7.466667,2.844087953,0.000326783
Taiwan,89017498,3399554410,25.03333333333333,121.516667,0.089017498,3.39955441
Thailand,25461,49041317440,13.75,100.516667,2.5461e-05,49.04131744
United Arab Emirates,67636986,300206472,24.466666666666665,54.36666700000001,0.067636986,0.300206472
United Kingdom,23690539376,957343964,51.5,-0.083333,23.690539376,0.957343964
United States,116176338066,104524992,38.883333,-77.0,116.176338066,0.104524992
