year,Brazil,Chile,Colombia,India,Kuwait,South Africa,Thailand
1981,0.0,0.0,0.0,752775.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,572352.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,216892.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,4831732.0
1995,0.0,273712.0,0.0,224051.0,0.0,983977.0,69294.0
2002,214401.0,296078.0,365547.0,1083306.0,0.0,1745946.0,260043.0
2003,260058.0,567339.0,190786.0,1798947.0,0.0,2009242.0,603022.0
2004,278870.0,479085.0,221659.0,1720453.0,153669.0,2303984.0,185190.0
2005,293576.0,472997.0,113277.0,2088192.0,0.0,1606002.0,582630.0
2006,320951.0,296741.0,86804.0,1205428.0,0.0,2332301.0,148395.0
2007,174175.0,998447.0,20263.0,1520973.0,0.0,1401416.0,64354.0
2008,446260.0,433044.0,8472.0,1953889.0,0.0,1621520.0,373331.0
2009,339120.0,433699.0,0.0,2579805.0,0.0,1270041.0,97634.0
2010,284989.0,1513698.0,109110.0,408698.0,0.0,1198622.0,3829.0
2011,212413.0,278743.0,0.0,1640241.0,0.0,1350266.0,142135.0
2012,97067.0,1464630.0,11260.0,33970.0,0.0,115737.0,0.0
2013,133652.0,319376.0,244739.0,962568.0,0.0,217244.0,60751.0
