coalesced_purpose_name,donor,recipient
Air transport,Australia,Thailand
Air transport,Belgium,Thailand
Air transport,Canada,Czech Republic
Air transport,Canada,India
Air transport,Canada,Poland
Air transport,Canada,Romania
Air transport,Canada,Thailand
Air transport,France,Chile
Air transport,France,Colombia
Air transport,France,Cyprus
Air transport,France,Estonia
Air transport,France,India
Air transport,France,Romania
Air transport,France,South Africa
Air transport,France,Thailand
Air transport,Germany,Colombia
Air transport,Italy,Colombia
Air transport,Japan,Brazil
Air transport,Japan,Colombia
Air transport,Japan,Thailand
Air transport,Korea,Chile
Air transport,Korea,Thailand
Air transport,Netherlands,India
Air transport,Netherlands,Slovak Republic
Air transport,Norway,India
Air transport,Norway,South Africa
Air transport,Norway,Thailand
Air transport,Spain,Brazil
Air transport,Spain,Chile
Air transport,Spain,Colombia
Air transport,Spain,India
Air transport,Sweden,Estonia
Air transport,Sweden,Latvia
Air transport,Sweden,Lithuania
Air transport,Sweden,Poland
Air transport,United Kingdom,India
Air transport,United Kingdom,Poland
Air transport,United States,Australia
Air transport,United States,Austria
Air transport,United States,Belgium
Air transport,United States,Brazil
Air transport,United States,Canada
Air transport,United States,Chile
Air transport,United States,Colombia
Air transport,United States,Czech Republic
Air transport,United States,Denmark
Air transport,United States,Finland
Air transport,United States,France
Air transport,United States,Greece
Air transport,United States,Hungary
Air transport,United States,Iceland
Air transport,United States,India
Air transport,United States,Ireland
Air transport,United States,Italy
Air transport,United States,Japan
Air transport,United States,Korea
Air transport,United States,Lithuania
Air transport,United States,Luxembourg
Air transport,United States,New Zealand
Air transport,United States,Norway
Air transport,United States,Poland
Air transport,United States,Portugal
Air transport,United States,Romania
Air transport,United States,Saudi Arabia
Air transport,United States,South Africa
Air transport,United States,Spain
Air transport,United States,Taiwan
Air transport,United States,Thailand
Air transport,United States,United Arab Emirates
Air transport,United States,United Kingdom
