coalesced_purpose_name,donor,recipient
Rail transport,Australia,India
Rail transport,Australia,Thailand
Rail transport,Austria,Colombia
Rail transport,Belgium,Thailand
Rail transport,Canada,Brazil
Rail transport,Canada,India
Rail transport,Canada,Slovak Republic
Rail transport,Denmark,Thailand
Rail transport,France,Brazil
Rail transport,France,Chile
Rail transport,France,Colombia
Rail transport,France,Estonia
Rail transport,France,India
Rail transport,France,Korea
Rail transport,France,Poland
Rail transport,France,Slovenia
Rail transport,France,South Africa
Rail transport,France,Thailand
Rail transport,Germany,Brazil
Rail transport,Germany,Colombia
Rail transport,Germany,India
Rail transport,Germany,Korea
Rail transport,Germany,Thailand
Rail transport,Italy,Czech Republic
Rail transport,Italy,Poland
Rail transport,Italy,Slovenia
Rail transport,Italy,Thailand
Rail transport,Japan,Brazil
Rail transport,Japan,Chile
Rail transport,Japan,Colombia
Rail transport,Japan,Czech Republic
Rail transport,Japan,India
Rail transport,Japan,Korea
Rail transport,Japan,South Africa
Rail transport,Japan,Thailand
Rail transport,Korea,Colombia
Rail transport,Korea,Thailand
Rail transport,Netherlands,India
Rail transport,Norway,South Africa
Rail transport,Portugal,Brazil
Rail transport,Saudi Arabia,India
Rail transport,Saudi Arabia,Taiwan
Rail transport,Spain,Brazil
Rail transport,Spain,India
Rail transport,Sweden,Estonia
Rail transport,Sweden,India
Rail transport,Sweden,Latvia
Rail transport,Sweden,Lithuania
Rail transport,Sweden,Poland
Rail transport,Switzerland,Romania
Rail transport,United Kingdom,India
Rail transport,United Kingdom,Poland
Rail transport,United Kingdom,Thailand
Rail transport,United States,Australia
Rail transport,United States,Brazil
Rail transport,United States,Chile
Rail transport,United States,Colombia
Rail transport,United States,Czech Republic
Rail transport,United States,Hungary
Rail transport,United States,India
Rail transport,United States,Korea
Rail transport,United States,Lithuania
Rail transport,United States,Romania
Rail transport,United States,Saudi Arabia
Rail transport,United States,South Africa
Rail transport,United States,Thailand
